p5
VisualSearchTaskr
03/04/2015	13:57:33

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
GroupA	p5	Practice	RG_ssleft_1, 1	response_target_f	f	f	Pressed	f	C	8766						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 1	response_cue	1	1	Pressed	1	C	10198						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 2	response_target_f	j	j	Pressed	f	E	5552						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 2	response_cue	1	1	Pressed	1	C	7152						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 3	response_target_f	j	j	Pressed	f	E	1073						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 3	response_cue	1	1	Pressed	1	C	1849						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 4	response_target_f	f	f	Pressed	f	C	1920						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 4	response_cue	1	1	Pressed	1	C	3848						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 5	response_target_f	f	f	Pressed	f	C	2793						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 5	response_cue	1	1	Pressed	1	C	4265						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 6	response_target_f	j	j	Pressed	f	E	1710						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 6	response_cue	2	2	Pressed	1	E	2398						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 7	response_target_f	j	j	Pressed	f	E	1038						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 7	response_cue	1	1	Pressed	1	C	2718						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 8	response_target_f	j	j	Pressed	f	E	874						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 8	response_cue	1	1	Pressed	1	C	2210						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 9	response_target_f	f	f	Pressed	f	C	2257						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 9	response_cue	2	2	Pressed	1	E	3985						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 10	response_target_f	j	j	Pressed	f	E	1583						SL	SC
GroupA	p5	Practice	RG_ssleft_1, 10	response_cue	2	2	Pressed	1	E	3935						SL	SC
GroupA	p5	Practice	RG_ssright_1, 1	response_target_j	f	f	Pressed	j	E	817						SL	SC
GroupA	p5	Practice	RG_ssright_1, 1	response_cue	1	1	Pressed	1	C	1889						SL	SC
GroupA	p5	Practice	RG_ssright_1, 2	response_target_j	j	j	Pressed	j	C	589						SL	SC
GroupA	p5	Practice	RG_ssright_1, 2	response_cue	1	1	Pressed	1	C	1677						SL	SC
GroupA	p5	Practice	RG_ssright_1, 3	response_target_j	j	j	Pressed	j	C	718						SL	SC
GroupA	p5	Practice	RG_ssright_1, 3	response_cue	1	1	Pressed	1	C	1646						SL	SC
GroupA	p5	Practice	RG_ssright_1, 4	response_target_j	f	f	Pressed	j	E	1391						SL	SC
GroupA	p5	Practice	RG_ssright_1, 4	response_cue	1	1	Pressed	1	C	24407						SL	SC
GroupA	p5	Practice	RG_ssright_1, 5	response_target_j	f	f	Pressed	j	E	819						SL	SC
GroupA	p5	Practice	RG_ssright_1, 5	response_cue	1	1	Pressed	1	C	2083						SL	SC
