p6
VisualSearchTask (1)
03/06/2015	15:53:15

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
groupB	p6	Pre-Trial	intro_cont	instructions_1.5	j	j	Pressed	(any response)	C	13737							
groupB	p6	PracticeB	YB_ssright_1, 1	response_target_j	f	f	Pressed	j	E	9790						SL	SC
groupB	p6	PracticeB	YB_ssright_1, 1	response_cue	1	1	Pressed	1	C	14822						SL	SC
groupB	p6	PracticeB	YB_sdleft_1, 10	response_target_f	f	f	Pressed	f	C	4074						DL	SC
groupB	p6	PracticeB	YB_sdleft_1, 10	response_cue	1	1	Pressed	1	C	4618						DL	SC
groupB	p6	PracticeB	YB_NCRight, 1	response_target_j	f	f	Pressed	j	E	2066							
groupB	p6	PracticeB	YB_NCRight, 1	response_no_cue	1	1	Pressed	2	E	2490							
groupB	p6	PracticeB	YB_sdleft_1, 6	response_target_f	f	f	Pressed	f	C	2174						DL	SC
groupB	p6	PracticeB	YB_sdleft_1, 6	response_cue	1	1	Pressed	1	C	2990						DL	SC
groupB	p6	PracticeB	YB_sdright_1, 1	response_target_j	j	j	Pressed	j	C	2521						DL	SC
groupB	p6	PracticeB	YB_sdright_1, 1	response_cue	1	1	Pressed	1	C	3370						DL	SC
groupB	p6	PracticeB	YB_NCLeft, 8	response_target_f	j	j	Pressed	f	E	2226							
groupB	p6	PracticeB	YB_NCLeft, 8	response_no_cue	1	1	Pressed	2	E	3410							
groupB	p6	PracticeB	YB_sdleft_1, 8	response_target_f	f	f	Pressed	f	C	2302						DL	SC
groupB	p6	PracticeB	YB_sdleft_1, 8	response_cue	2	2	Pressed	1	E	3478						DL	SC
groupB	p6	PracticeB	YB_dsright_1, 3	response_target_j	j	j	Pressed	j	C	1828						SL	DC
groupB	p6	PracticeB	YB_dsright_1, 3	response_cue	2	2	Pressed	1	E	2844						SL	DC
groupB	p6	PracticeB	YB_ddleft_1, 6	response_target_f	f	f	Pressed	f	C	1625						DL	DC
groupB	p6	PracticeB	YB_ddleft_1, 6	response_cue	1	1	Pressed	1	C	2361						DL	DC
groupB	p6	PracticeB	YB_ddleft_1, 9	response_target_f	f	f	Pressed	f	C	1606						DL	DC
groupB	p6	PracticeB	YB_ddleft_1, 9	response_cue	1	1	Pressed	1	C	2389						DL	DC
groupB	p6	PracticeB	YB_sdright_1, 3	response_target_j	j	j	Pressed	j	C	1134						DL	SC
groupB	p6	PracticeB	YB_sdright_1, 3	response_cue	1	1	Pressed	1	C	1718						DL	SC
groupB	p6	PracticeB	YB_dsleft_1, 1	response_target_f	f	f	Pressed	f	C	1262						SL	DC
groupB	p6	PracticeB	YB_dsleft_1, 1	response_cue	1	1	Pressed	1	C	1862						SL	DC
groupB	p6	PracticeB	YB_dsright_1, 2	response_target_j	j	j	Pressed	j	C	1815						SL	DC
groupB	p6	PracticeB	YB_dsright_1, 2	response_cue	1	1	Pressed	1	C	2583						SL	DC
groupB	p6	PracticeB	YB_sdright_1, 5	response_target_j	f	f	Pressed	j	E	1396						DL	SC
groupB	p6	PracticeB	YB_sdright_1, 5	response_cue	1	1	Pressed	1	C	2404						DL	SC
groupB	p6	PracticeB	YB_NCLeft, 2	response_target_f	f	f	Pressed	f	C	1272							
groupB	p6	PracticeB	YB_NCLeft, 2	response_no_cue	1	1	Pressed	2	E	2248							
groupB	p6	PracticeB	YB_dsleft_1, 10	response_target_f	j	j	Pressed	f	E	2070						SL	DC
groupB	p6	PracticeB	YB_dsleft_1, 10	response_cue	2	2	Pressed	1	E	2606						SL	DC
groupB	p6	PracticeB	YB_ssright_1, 9	response_target_j	j	j	Pressed	j	C	1472						SL	SC
groupB	p6	PracticeB	YB_ssright_1, 9	response_cue	2	2	Pressed	1	E	3048						SL	SC
groupB	p6	PracticeB	YB_dsleft_1, 3	response_target_f	j	j	Pressed	f	E	1198						SL	DC
groupB	p6	PracticeB	YB_dsleft_1, 3	response_cue	1	1	Pressed	1	C	1926						SL	DC
groupB	p6	PracticeB	YB_ssleft_1, 10	response_target_f	j	j	Pressed	f	E	963						SL	SC
