p8
VisualSearchTask
03/10/2015	15:05:00

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
groupB	p8	Pre-Trial	intro_cont	instructions_1.5		 	Pressed	(any response)	C	9161							
groupB	p8	PracticeB	YB_NCRight, 4	response_target_j	j	j	Pressed	j	C	1036							
groupB	p8	PracticeB	YB_NCRight, 4	response_no_cue	i	i	Pressed	2; i	C	10748							
groupB	p8	PracticeB	YB_sdright_1, 2	response_target_j	j	j	Pressed	j	C	3313						DL	SC
groupB	p8	PracticeB	YB_sdright_1, 2	response_cue	e	e	Pressed	1; e	C	5489						DL	SC
groupB	p8	PracticeB	YB_dsleft_1, 8	response_target_f	f	f	Pressed	f	C	4199						SL	DC
groupB	p8	PracticeB	YB_dsleft_1, 8	response_cue	e	e	Pressed	1; e	C	5271						SL	DC
groupB	p8	PracticeB	YB_ddleft_1, 1	response_target_f	e	e	Pressed	f	E	1300						DL	DC
groupB	p8	PracticeB	YB_ddleft_1, 1	response_cue	e	e	Pressed	1; e	C	3956						DL	DC
groupB	p8	PracticeB	YB_sdleft_1, 1	response_target_f	j	j	Pressed	f	E	5682						DL	SC
groupB	p8	PracticeB	YB_sdleft_1, 1	response_cue	i	i	Pressed	1; e	E	6882						DL	SC
groupB	p8	PracticeB	YB_dsleft_1, 4	response_target_f	e	e	Pressed	f	E	1992						SL	DC
groupB	p8	PracticeB	YB_dsleft_1, 4	response_cue	e	e	Pressed	1; e	C	2744						SL	DC
groupB	p8	PracticeB	YB_NCLeft, 2	response_target_f	f	f	Pressed	f	C	1777							
groupB	p8	PracticeB	YB_NCLeft, 2	response_no_cue	i	i	Pressed	2; i	C	3473							
groupB	p8	PracticeB	YB_dsright_1, 2	response_target_j	j	j	Pressed	j	C	1655						SL	DC
groupB	p8	PracticeB	YB_dsright_1, 2	response_cue	i	i	Pressed	1; e	E	3735						SL	DC
groupB	p8	PracticeB	YB_ddleft_1, 7	response_target_f	e	e	Pressed	f	E	1558						DL	DC
groupB	p8	PracticeB	YB_ddleft_1, 7	response_cue	e	e	Pressed	1; e	C	3990						DL	DC
groupB	p8	PracticeB	YB_NCRight, 8	response_target_j	i	i	Pressed	j	E	8971							
groupB	p8	PracticeB	YB_NCRight, 8	response_no_cue	i	i	Pressed	2; i	C	12091							
groupB	p8	PracticeB	YB_dsleft_1, 2	response_target_f	f	f	Pressed	f	C	2418						SL	DC
groupB	p8	PracticeB	YB_dsleft_1, 2	response_cue	e	e	Pressed	1; e	C	3810						SL	DC
groupB	p8	PracticeB	YB_NCLeft, 6	response_target_f	f	f	Pressed	f	C	2831							
groupB	p8	PracticeB	YB_NCLeft, 6	response_no_cue	i	i	Pressed	2; i	C	4015							
groupB	p8	PracticeB	YB_NCRight, 3	response_target_j	f	f	Pressed	j	E	4170							
groupB	p8	PracticeB	YB_NCRight, 3	response_no_cue	i	i	Pressed	2; i	C	5370							
groupB	p8	PracticeB	YB_ddright_1, 9	response_target_j	i	i	Pressed	j	E	1751						DL	DC
groupB	p8	PracticeB	YB_ddright_1, 9	response_cue	e	e	Pressed	1; e	C	2327						DL	DC
groupB	p8	PracticeB	YB_dsright_1, 10	response_target_j	f	f	Pressed	j	E	2476						SL	DC
groupB	p8	PracticeB	YB_dsright_1, 10	response_cue	i	i	Pressed	1; e	E	3531						SL	DC
groupB	p8	PracticeB	YB_NCLeft, 3	response_target_f	e	e	Pressed	f	E	1208							
groupB	p8	PracticeB	YB_NCLeft, 3	response_no_cue	i	i	Pressed	2; i	C	3384							
groupB	p8	PracticeB	YB_dsright_1, 9	response_target_j	j	j	Pressed	j	C	2366						SL	DC
groupB	p8	PracticeB	YB_dsright_1, 9	response_cue	e	e	Pressed	1; e	C	3102						SL	DC
groupB	p8	PracticeB	YB_NCRight, 10	response_target_j	j	j	Pressed	j	C	983							
groupB	p8	PracticeB	YB_NCRight, 10	response_no_cue	i	i	Pressed	2; i	C	4391							
groupB	p8	PracticeB	YB_ddright_1, 1	response_target_j	j	j	Pressed	j	C	1855						DL	DC
groupB	p8	PracticeB	YB_ddright_1, 1	response_cue	e	e	Pressed	1; e	C	2335						DL	DC
groupB	p8	PracticeB	YB_sdleft_1, 6	response_target_f	f	f	Pressed	f	C	1332						DL	SC
groupB	p8	PracticeB	YB_sdleft_1, 6	response_cue	i	i	Pressed	1; e	E	2324						DL	SC
groupB	p8	PracticeB	YB_ssright_1, 3	response_target_j	j	j	Pressed	j	C	2248						SL	SC
groupB	p8	PracticeB	YB_ssright_1, 3	response_cue	i	i	Pressed	1; e	E	2648						SL	SC
groupB	p8	BlueYellow_Block1	YB_NCRight, 5	response_target_j	f	f	Pressed	j	E	675							
groupB	p8	BlueYellow_Block1	YB_NCRight, 5	response_no_cue	i	i	Pressed	2; i	C	4099							
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 9	response_target_f	f	f	Pressed	f	C	971						SL	DC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 9	response_cue	i	i	Pressed	1; e	E	1339						SL	DC
groupB	p8	BlueYellow_Block1	YB_ssright_1, 3	response_target_j	j	j	Pressed	j	C	1816						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssright_1, 3	response_cue	e	e	Pressed	1; e	C	2936						SL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 2	response_target_j	f	f	Pressed	j	E	612						DL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 2	response_cue	i	i	Pressed	1; e	E	3556						DL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 8	response_target_j	j	j	Pressed	j	C	1127						DL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 8	response_cue	e	e	Pressed	1; e	C	3415						DL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 10	response_target_f	f	f	Pressed	f	C	948						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 10	response_cue	e	e	Pressed	1; e	C	3076						SL	SC
groupB	p8	BlueYellow_Block1	YB_ddright_1, 5	response_target_j	j	j	Pressed	j	C	822						DL	DC
groupB	p8	BlueYellow_Block1	YB_ddright_1, 5	response_cue	e	e	Pressed	1; e	C	1734						DL	DC
groupB	p8	BlueYellow_Block1	YB_ssright_1, 10	response_target_j	j	j	Pressed	j	C	867						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssright_1, 10	response_cue	e	e	Pressed	1; e	C	1443						SL	SC
groupB	p8	BlueYellow_Block1	YB_NCLeft, 1	response_target_f	j	j	Pressed	f	E	1176							
groupB	p8	BlueYellow_Block1	YB_NCLeft, 1	response_no_cue	i	i	Pressed	2; i	C	4248							
groupB	p8	BlueYellow_Block1	YB_NCLeft, 6	response_target_f	f	f	Pressed	f	C	1823							
groupB	p8	BlueYellow_Block1	YB_NCLeft, 6	response_no_cue	i	i	Pressed	2; i	C	6271							
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 5	response_target_f	j	j	Pressed	f	E	747						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 5	response_cue	i	i	Pressed	1; e	E	5083						SL	SC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 1	response_target_f	f	f	Pressed	f	C	796						SL	DC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 1	response_cue	e	e	Pressed	1; e	C	5676						SL	DC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 3	response_target_f	j	j	Pressed	f	E	696						SL	DC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 3	response_cue	e	e	Pressed	1; e	C	5719						SL	DC
groupB	p8	BlueYellow_Block1	YB_NCRight, 8	response_target_j	j	j	Pressed	j	C	745							
groupB	p8	BlueYellow_Block1	YB_NCRight, 8	response_no_cue	i	i	Pressed	2; i	C	2377							
groupB	p8	BlueYellow_Block1	YB_NCRight, 2	response_target_j	j	j	Pressed	j	C	964							
groupB	p8	BlueYellow_Block1	YB_NCRight, 2	response_no_cue	i	i	Pressed	2; i	C	2836							
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 9	response_target_f	f	f	Pressed	f	C	824						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 9	response_cue	i	i	Pressed	1; e	E	3784						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 6	response_target_f	f	f	Pressed	f	C	1751						SL	SC
groupB	p8	BlueYellow_Block1	YB_ssleft_1, 6	response_cue	i	i	Pressed	1; e	E	8343						SL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 6	response_target_j	j	j	Pressed	j	C	1010						DL	SC
groupB	p8	BlueYellow_Block1	YB_sdright_1, 6	response_cue	2	2	Pressed	1; e	E	19458						DL	SC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 8	response_target_f		g	Pressed	f	E	820						SL	DC
groupB	p8	BlueYellow_Block1	YB_dsleft_1, 8	response_cue	1	1	Pressed	1; e	C	4660						SL	DC
groupB	p8	BlueYellow_Block1	YB_ddleft_1, 9	response_target_f		g	Pressed	f	E	598						DL	DC
